fen,action,score,result
bwb4w/1b1bb2w/1bwwb1ww/ww1bbw1b/wbw1b2b/bb3w2/wbww1b2/1w1b4 w,"(5, 2)",100,1
b7/8/6b1/2b1b3/6w1/4bw2/3w4/5w2 w,"(5, 4)",0
b7/8/6b1/2b1b3/6w1/4bw2/3w4/5w2 b,"(4, 4)",0
b7/8/6b1/2bwb3/3b2w1/4bw2/3w4/5w2 w,"(4, 5)",50
b7/8/6b1/2bwb3/3b2w1/4bw2/3w4/5w2 b,"(2, 3)",50
b7/8/1w4b1/2bwb3/3b2w1/4bw2/3w1b2/5w2 w,"(6, 7)",100,1
1wb1b1b1/3w2w1/7w/1b1b1bwb/b1b1b3/b1b3bw/1wwbwww1/1w1w1b1w w,"(4, 4)",-50
1wb1b1b1/3w2w1/7w/1b1b1bwb/b1b1b3/b1b3bw/1wwbwww1/1w1w1b1w b,"(8, 7)",-100,-1
1b5b/b2b2w1/1bb5/4ww1w/2w1b3/b2w2b1/2ww4/1w2wb1b w,"(5, 5)",-50
1b5b/b2b2w1/1bb5/4ww1w/2w1b3/b2w2b1/2ww4/1w2wb1b b,"(7, 4)",-100,-1
8/8/8/8/8/8/3wb2b/8 b,"(4, 4)",0
8/8/8/3w4/3b4/8/3wb2b/8 w,"(4, 5)",0
8/8/8/3w4/3b4/8/3wb2b/8 b,"(3, 5)",0
8/8/3b4/3w4/2wb4/8/3wb2b/8 w,"(4, 3)",0
8/8/3b4/3w4/2wb4/8/3wb2b/8 b,"(5, 5)",0
8/8/3b4/3w4/2wbw3/3b4/3wb2b/8 w,"(4, 6)",0
8/8/3b4/3w4/2wbw3/3b4/3wb2b/8 b,"(5, 4)",0
8/8/3b4/3wwb2/2wbw3/3b4/3wb2b/8 w,"(6, 4)",0
8/8/3b4/3wwb2/2wbw3/3b4/3wb2b/8 b,"(3, 4)",-50
8/8/3b4/2wwwb2/2wbwb2/3b4/3wb2b/8 w,"(6, 5)",-50
8/8/3b4/2wwwb2/2wbwb2/3b4/3wb2b/8 b,"(2, 4)",-100,-1
bb2w1w1/1wb2bw1/bbw3wb/2bwbb1b/1wbw2b1/1wwbbww1/3w4/5w1b b,"(1, 4)",-100,-1
3bww2/bw2bw2/w2bwb2/wbb1b3/1bw3bb/2wb2ww/2bw4/4b1w1 w,"(3, 4)",100,1
8/8/8/4b3/8/8/8/8 w,"(5, 4)",0
8/8/8/4b3/8/8/8/8 b,"(4, 4)",0
8/8/3b4/3wb3/8/8/8/8 w,"(4, 3)",0
8/8/3b4/3wb3/8/8/8/8 b,"(4, 6)",0
8/8/3b4/3wb3/3b4/3w4/8/8 w,"(4, 5)",0
8/8/3b4/3wb3/3b4/3w4/8/8 b,"(5, 6)",0
8/8/3b4/2bwb3/3b4/3ww3/8/8 w,"(3, 4)",0
8/8/3b4/2bwb3/3b4/3ww3/8/8 b,"(6, 5)",0
8/8/3b4/2bwb3/2bb1w2/3ww3/8/8 w,"(3, 5)",0
8/8/3b4/2bwb3/2bb1w2/3ww3/8/8 b,"(5, 5)",0
8/8/3b4/2bwb3/1bbbww2/3ww3/8/8 w,"(2, 5)",50
8/8/3b4/2bwb3/1bbbww2/3ww3/8/8 b,"(1, 5)",50
8/8/3b4/2bwb3/wbbbww2/b2ww3/8/8 w,"(1, 6)",100,1
1w6/5bbb/wbww2w1/bbbb1ww1/b3b3/5b2/1w1b4/ww2bw1w w,"(4, 4)",100,1
7w/2w1bw2/8/8/3b3b/7b/1b2ww2/6b1 w,"(4, 5)",0
7w/2w1bw2/8/8/3b3b/7b/1b2ww2/6b1 b,"(3, 5)",0
7w/2w1bw2/8/8/2wbb2b/7b/1b2ww2/6b1 w,"(5, 5)",0
7w/2w1bw2/8/8/2wbb2b/7b/1b2ww2/6b1 b,"(4, 4)",-50
7w/2w1bw2/4b3/3w4/2wbb2b/7b/1b2ww2/6b1 w,"(5, 3)",50
7w/2w1bw2/4b3/3w4/2wbb2b/7b/1b2ww2/6b1 b,"(4, 3)",50
7w/2w1bw2/3wb3/3wb3/2wbb2b/7b/1b2ww2/6b1 w,"(5, 4)",100,1
w1w1w1bb/4b1ww/b2b1www/1b4bw/wwbw1b2/3bb2w/1bw5/bwb3bb w,"(4, 6)",100,1
5w2/3w3w/2b1bwbb/3bw3/2b2b1w/bw2w3/b7/1b4w1 w,"(4, 4)",50
5w2/3w3w/2b1bwbb/3bw3/2b2b1w/bw2w3/b7/1b4w1 b,"(6, 2)",-50
5w2/3w1w1w/2bbbwbb/3bw3/2b2b1w/bw2w3/b7/1b4w1 w,"(4, 3)",50
5w2/3w1w1w/2bbbwbb/3bw3/2b2b1w/bw2w3/b7/1b4w1 b,"(2, 3)",-50
5w2/3w1w1w/1wbbbwbb/3bw3/2b1bb1w/bw2w3/b7/1b4w1 w,"(5, 5)",50
5w2/3w1w1w/1wbbbwbb/3bw3/2b1bb1w/bw2w3/b7/1b4w1 b,"(2, 2)",-50
5w2/1w1w1w1w/1wbbbwbb/3bw3/2bbbb1w/bw2w3/b7/1b4w1 w,"(4, 5)",100,1
8/8/2bb4/8/w7/6w1/6b1/8 b,"(5, 4)",0
8/8/2bb4/3bw3/w7/6w1/6b1/8 w,"(4, 4)",0
8/8/2bb4/3bw3/w7/6w1/6b1/8 b,"(3, 5)",0
8/8/2bb4/3bw3/w1wb4/6w1/6b1/8 w,"(4, 5)",50
8/8/2bb4/3bw3/w1wb4/6w1/6b1/8 b,"(4, 2)",50
8/3w4/2bb4/3bw3/w1wb4/3b2w1/6b1/8 w,"(4, 6)",100,1
8/8/4b3/8/2w5/2w1w3/b1b2bw1/2b5 b,"(4, 4)",0
8/8/4b3/3w4/2w1b3/2w1w3/b1b2bw1/2b5 w,"(5, 5)",0
8/8/4b3/3w4/2w1b3/2w1w3/b1b2bw1/2b5 b,"(4, 5)",0
8/8/4b3/3wb3/2wwb3/2w1w3/b1b2bw1/2b5 w,"(5, 4)",50
8/8/4b3/3wb3/2wwb3/2w1w3/b1b2bw1/2b5 b,"(4, 6)",-50
8/8/4b3/3wb3/2wwb3/1bwww3/b1b2bw1/2b5 w,"(2, 6)",50
8/8/4b3/3wb3/2wwb3/1bwww3/b1b2bw1/2b5 b,"(4, 3)",-100,-1
w1b1b3/2w4b/wb6/w2bb3/8/8/4b1ww/8 w,"(4, 4)",-50
w1b1b3/2w4b/wb6/w2bb3/8/8/4b1ww/8 b,"(1, 2)",-100,-1
8/8/1b6/8/8/8/3b4/1w6 b,"(5, 5)",0
8/8/1b6/2b5/4w3/8/3b4/1w6 w,"(3, 4)",0
8/8/1b6/2b5/4w3/8/3b4/1w6 b,"(3, 5)",0
8/8/1b6/2b5/2wbw3/8/3b4/1w6 w,"(4, 5)",50
8/8/1b6/2b5/2wbw3/8/3b4/1w6 b,"(1, 2)",50
8/w7/1b6/2b5/2wbw3/4b3/3b4/1w6 w,"(5, 6)",100,1
w3b3/w1wwb3/1b4w1/2b5/1wb1w1bb/2wb4/1w1b1b2/2w2b2 b,"(2, 2)",-100,-1
w3b1ww/1b4b1/1w1w1b2/2b4b/8/b6b/w2b1w2/1w6 b,"(5, 4)",0
w3b1ww/1b4b1/1w1w1b2/2bbw2b/8/b6b/w2b1w2/1w6 w,"(4, 4)",0
w3b1ww/1b4b1/1w1w1b2/2bbw2b/8/b6b/w2b1w2/1w6 b,"(5, 3)",-50
w3b1ww/1b4b1/1wbwwb2/2bbw2b/8/b6b/w2b1w2/1w6 w,"(3, 3)",50
w3b1ww/1b4b1/1wbwwb2/2bbw2b/8/b6b/w2b1w2/1w6 b,"(5, 5)",-50
w3b1ww/1b2b1b1/1wbwwb2/2bbw2b/4w3/b6b/w2b1w2/1w6 w,"(5, 2)",-50
w3b1ww/1b2b1b1/1wbwwb2/2bbw2b/4w3/b6b/w2b1w2/1w6 b,"(5, 6)",-100,-1
b4bbw/4w3/1ww1bwb1/1b2bbb1/1w2w2b/2bww3/w1bwwwb1/2bb2w1 w,"(3, 7)",50
b4bbw/4w3/1ww1bwb1/1b2bbb1/1w2w2b/2bww3/w1bwwwb1/2bb2w1 b,"(3, 5)",-50
b4bbw/4w3/1ww1bwb1/1b1bbbb1/1ww1w2b/2bww3/w1bwwwb1/2bb2w1 w,"(4, 4)",100,1
1b2b2w/3w2bb/b1w5/wb2w3/w1bbbww1/4w3/b2bbw1w/1w1bw2b w,"(2, 4)",50
1b2b2w/3w2bb/b1w5/wb2w3/w1bbbww1/4w3/b2bbw1w/1w1bw2b b,"(2, 5)",-50
1b2b2w/3w2bb/b1w5/wb2w3/wwbbbww1/3bw3/b2bbw1w/1w1bw2b w,"(4, 6)",100,1
8/1b5w/8/3b4/2wb4/5w2/b2bw3/8 w,"(4, 4)",50
8/1b5w/8/3b4/2wb4/5w2/b2bw3/8 b,"(4, 6)",-50
8/1b5w/8/1b1b4/2wb4/3w1w2/b2bw3/8 w,"(2, 4)",-50
8/1b5w/8/1b1b4/2wb4/3w1w2/b2bw3/8 b,"(6, 8)",-100,-1
8/8/8/8/8/8/8/b7 b,"(5, 5)",0
8/8/8/8/2b1w3/8/8/b7 w,"(3, 5)",0
8/8/8/8/2b1w3/8/8/b7 b,"(4, 4)",0
8/8/8/3w4/2b1w3/3b4/8/b7 w,"(4, 6)",0
8/8/8/3w4/2b1w3/3b4/8/b7 b,"(4, 3)",0
8/8/3w4/3wb3/2b1w3/3b4/8/b7 w,"(5, 4)",0
8/8/3w4/3wb3/2b1w3/3b4/8/b7 b,"(4, 5)",-50
8/8/3w4/2bwb3/2bww3/3b4/8/b7 w,"(3, 4)",-50
8/8/3w4/2bwb3/2bww3/3b4/8/b7 b,"(4, 2)",-100,-1
w7/7b/8/8/8/8/4b3/8 b,"(4, 4)",0
w7/7b/8/2bw4/8/8/4b3/8 w,"(3, 4)",0
w7/7b/8/2bw4/8/8/4b3/8 b,"(5, 4)",0
w7/7b/8/2bww3/2b5/8/4b3/8 w,"(3, 5)",0
w7/7b/8/2bww3/2b5/8/4b3/8 b,"(4, 6)",0
w7/7b/8/2bww3/2b1b3/3w4/4b3/8 w,"(5, 5)",0
w7/7b/8/2bww3/2b1b3/3w4/4b3/8 b,"(4, 5)",-50
w7/7b/3b4/2bww3/2bwb3/3w4/4b3/8 w,"(4, 3)",-50
w7/7b/3b4/2bww3/2bwb3/3w4/4b3/8 b,"(4, 7)",-100,-1
8/4b3/8/8/8/8/8/8 b,"(4, 5)",0
8/4b3/8/8/3wb3/8/8/8 w,"(5, 5)",0
8/4b3/8/8/3wb3/8/8/8 b,"(5, 4)",0
8/4b3/8/4w3/3wb3/3b4/8/8 w,"(4, 6)",0
8/4b3/8/4w3/3wb3/3b4/8/8 b,"(4, 4)",0
8/4b3/8/3ww3/2bwb3/3b4/8/8 w,"(3, 5)",0
8/4b3/8/3ww3/2bwb3/3b4/8/8 b,"(3, 4)",-50
8/4b3/8/1bwww3/2bwb3/3b4/8/8 w,"(2, 4)",50
8/4b3/8/1bwww3/2bwb3/3b4/8/8 b,"(1, 3)",-50
8/4b3/w7/1bwww3/2bwb3/3b4/4b3/8 w,"(5, 7)",100,1
w1b4w/w3w2b/w3www1/2w1b1b1/w2wbwbb/2b4b/bb4b1/b7 b,"(1, 4)",-100,-1
8/8/8/2b5/8/8/8/8 w,"(3, 4)",0
8/8/8/2b5/8/8/8/8 b,"(5, 5)",0
8/8/3b4/2b5/4w3/8/8/8 w,"(4, 3)",0
8/8/3b4/2b5/4w3/8/8/8 b,"(4, 5)",0
8/8/3b4/2b5/3ww3/3b4/8/8 w,"(4, 6)",0
8/8/3b4/2b5/3ww3/3b4/8/8 b,"(4, 4)",0
8/8/3bb3/2bw4/3ww3/3b4/8/8 w,"(5, 3)",0
8/8/3bb3/2bw4/3ww3/3b4/8/8 b,"(6, 4)",0
8/8/3bb3/2bw1w2/3wwb2/3b4/8/8 w,"(6, 5)",0
8/8/3bb3/2bw1w2/3wwb2/3b4/8/8 b,"(5, 4)",-50
8/8/3bb3/1bbwww2/3wwb2/3b4/8/8 w,"(2, 4)",-50
8/8/3bb3/1bbwww2/3wwb2/3b4/8/8 b,"(7, 4)",-100,-1
8/8/1b6/4w3/4b3/1w6/8/2b5 w,"(5, 5)",0
8/8/1b6/4w3/4b3/1w6/8/2b5 b,"(4, 5)",0
8/8/1b6/3bw3/3wb3/1w6/8/2b5 w,"(4, 4)",0
8/8/1b6/3bw3/3wb3/1w6/8/2b5 b,"(4, 6)",0
8/8/1b1b4/3bw3/3wb3/1w1w4/8/2b5 w,"(4, 3)",0
8/8/1b1b4/3bw3/3wb3/1w1w4/8/2b5 b,"(3, 5)",0
8/8/1b1b4/2bbw3/2wwb3/1w1w4/8/2b5 w,"(3, 4)",0
8/8/1b1b4/2bbw3/2wwb3/1w1w4/8/2b5 b,"(5, 3)",0
8/8/1b1bw3/2bbwb2/2wwb3/1w1w4/8/2b5 w,"(6, 4)",0
8/8/1b1bw3/2bbwb2/2wwb3/1w1w4/8/2b5 b,"(5, 6)",-50
8/8/1b1bw3/2bbwb2/1bwwb3/1w1ww3/8/2b5 w,"(2, 5)",50
8/8/1b1bw3/2bbwb2/1bwwb3/1w1ww3/8/2b5 b,"(1, 6)",-50
8/8/1b1bw3/2bbwb2/1bwwb3/wwbww3/8/2b5 w,"(3, 6)",50
8/8/1b1bw3/2bbwb2/1bwwb3/wwbww3/8/2b5 b,"(5, 2)",-50
8/4w3/1b1bw3/1bbbwb2/1bwwb3/wwbww3/8/2b5 w,"(2, 4)",50
8/4w3/1b1bw3/1bbbwb2/1bwwb3/wwbww3/8/2b5 b,"(1, 4)",-50
8/1b2w3/1b1bw3/wbbbwb2/1bwwb3/wwbww3/8/2b5 w,"(2, 2)",100,1
6b1/1bbb2b1/2b1w3/2b1w1bw/ww1w1w2/3wb2w/bw6/2b2wb1 b,"(1, 2)",-50
2b3b1/wbbb2b1/2b1w3/2b1w1bw/ww1w1w2/3wb2w/bw6/2b2wb1 w,"(3, 1)",100,1
w1bb2ww/2w1b1w1/2bb1bwb/1wb2w2/3w1wbb/1b2bwb1/bw5b/bww2w2 b,"(2, 5)",-50
w1bb2ww/2w1b1w1/2bbbbwb/1wb2w2/1w1w1wbb/1b2bwb1/bw5b/bww2w2 w,"(5, 3)",100,1
7w/2bw4/2bw4/2b1b1w1/2bbw3/5b2/w3bwb1/2b1w1w1 w,"(3, 4)",100,1
8/6b1/8/8/4b3/8/8/2w5 w,"(5, 5)",0
8/6b1/8/8/4b3/8/8/2w5 b,"(4, 5)",0
8/6b1/8/4b3/3wb3/8/8/2w5 w,"(5, 4)",0
8/6b1/8/4b3/3wb3/8/8/2w5 b,"(3, 4)",0
8/6b1/8/2wbb3/3wb3/8/8/2w5 w,"(4, 4)",0
8/6b1/8/2wbb3/3wb3/8/8/2w5 b,"(5, 6)",-50
8/6b1/1b6/2wbb3/3wb3/4w3/8/2w5 w,"(2, 3)",-50
8/6b1/1b6/2wbb3/3wb3/4w3/8/2w5 b,"(6, 7)",-100,-1
6ww/b1ww1bb1/1wbwww2/2w2bbb/7w/bb2w1bb/wbbbbw2/w2bw3 w,"(3, 7)",100,1
1wbw4/1b1w2b1/5w1b/3bwww1/bww2b2/wwbbwbw1/b2bw1w1/bbbbb1w1 w,"(2, 8)",100,1
5wbw/1wbb4/2wb2b1/2w4w/1b1w2bw/1b1wbwbb/1b2wbww/1b6 w,"(2, 5)",100,1
2w5/4b3/2b2w2/2b5/4b3/8/3w4/8 w,"(5, 5)",0
2w5/4b3/2b2w2/2b5/4b3/8/3w4/8 b,"(5, 4)",0
2w5/4b3/2b2w2/2bbw3/4b3/8/3w4/8 w,"(4, 4)",50
2w5/4b3/2b2w2/2bbw3/4b3/8/3w4/8 b,"(2, 2)",50
2w5/1w2b3/2b2w2/2bbw3/4b3/5b2/3w4/8 w,"(6, 6)",100,1
8/1w3b2/1ww5/4b3/b3wb2/2wb4/3b4/2b1w3 b,"(4, 4)",-100,-1
w1b1b1b1/b1w5/1bwb4/1w4ww/1wb4w/bbbbwbw1/w1w1w3/5b1b w,"(2, 6)",100,1
8/8/8/8/6b1/8/8/8 b,"(5, 5)",0
8/8/8/3b4/4w1b1/8/8/8 w,"(4, 4)",0
8/8/8/3b4/4w1b1/8/8/8 b,"(5, 4)",0
8/8/3b4/3bw3/4w1b1/8/8/8 w,"(4, 3)",0
8/8/3b4/3bw3/4w1b1/8/8/8 b,"(3, 4)",0
8/8/3b4/2wbw3/3bw1b1/8/8/8 w,"(4, 5)",50
8/8/3b4/2wbw3/3bw1b1/8/8/8 b,"(4, 2)",50
8/3w4/3b4/2wbw3/3bw1b1/3b4/8/8 w,"(4, 6)",100,1
2w1b3/1wb1b2b/b1b1w1w1/b2b4/1w1b4/2wb3b/1ww2w2/w7 b,"(4, 3)",-50
2w1b3/1wb1b2b/b1bww1w1/b2b4/1w1b4/2wb3b/1wwb1w2/w7 w,"(4, 7)",100,1
bb2b3/6w1/b2w3b/2b2w2/2bw1w1b/ww6/4bb2/4ww2 b,"(4, 4)",-50
bb2b3/3b2w1/b2w3b/2bw1w2/2bw1w1b/ww6/4bb2/4ww2 w,"(4, 2)",-50
bb2b3/3b2w1/b2w3b/2bw1w2/2bw1w1b/ww6/4bb2/4ww2 b,"(4, 6)",-100,-1
4b1bw/2b5/7b/2w5/6w1/1b2b3/w1w1w3/2wb2b1 b,"(3, 5)",-50
4b1bw/2b5/7b/2w5/2w3w1/1bb1b3/w1w1w3/2wb2b1 w,"(3, 6)",50
4b1bw/2b5/7b/2w5/2w3w1/1bb1b3/w1w1w3/2wb2b1 b,"(4, 6)",-50
4b1bw/2b5/7b/1bw5/2w3w1/1bbwb3/w1w1w3/2wb2b1 w,"(2, 4)",-50
4b1bw/2b5/7b/1bw5/2w3w1/1bbwb3/w1w1w3/2wb2b1 b,"(6, 8)",-100,-1
1b6/1b2b3/2b1w3/6w1/8/8/b3wb2/1w5w b,"(4, 4)",0
1b6/1b2b3/2b1w3/2bw2w1/8/8/b3wb2/1w5w w,"(3, 4)",0
1b6/1b2b3/2b1w3/2bw2w1/8/8/b3wb2/1w5w b,"(4, 3)",0
1b6/1b2b3/2bww3/2bw2w1/3b4/8/b3wb2/1w5w w,"(4, 5)",50
1b6/1b2b3/2bww3/2bw2w1/3b4/8/b3wb2/1w5w b,"(5, 6)",0
1b6/1b2b3/2bww3/2bw2w1/3b4/3bw3/b3wb2/1w5w w,"(4, 6)",0
1b6/1b2b3/2bww3/2bw2w1/3b4/3bw3/b3wb2/1w5w b,"(5, 4)",-50
1b6/1b2b3/2bww3/2bww1w1/3bb3/3bw3/b3wb2/1w5w w,"(5, 5)",-50
1b6/1b2b3/2bww3/2bww1w1/3bb3/3bw3/b3wb2/1w5w b,"(6, 4)",-100,-1
5w2/3w1bb1/b5w1/8/2wb4/5b2/1w6/5b2 w,"(4, 5)",0
5w2/3w1bb1/b5w1/8/2wb4/5b2/1w6/5b2 b,"(4, 3)",0
5w2/3w1bb1/b2w2w1/4b3/2wb4/5b2/1w6/5b2 w,"(5, 4)",50
5w2/3w1bb1/b2w2w1/4b3/2wb4/5b2/1w6/5b2 b,"(6, 3)",-50
5w2/3w1bb1/b2w1ww1/4b3/2wb4/3b1b2/1w6/5b2 w,"(4, 6)",-50
5w2/3w1bb1/b2w1ww1/4b3/2wb4/3b1b2/1w6/5b2 b,"(5, 3)",-100,-1
2w2w1w/1b1w2wb/bw6/b1w2b2/3w1w2/wbbwbw2/7b/1b2b1bb b,"(1, 2)",-100,-1
w2w1b2/5bw1/1w6/bbb5/1www2w1/2w3b1/b1bwb3/wbbb1bw1 b,"(1, 5)",-100,-1
3b4/bbb2wb1/4w2w/5ww1/bww1b1ww/w2wbbw1/w1b4b/b1wbb1b1 b,"(2, 6)",-50
3b4/bbb2wb1/4w2w/5ww1/bww1b1ww/wwbwbbw1/w1b4b/b1wbb1b1 w,"(3, 6)",50
3b4/bbb2wb1/4w2w/5ww1/bww1b1ww/wwbwbbw1/w1b4b/b1wbb1b1 b,"(4, 2)",-100,-1
3w4/6w1/3b3b/1bw5/1w1b4/8/b1b2ww1/2b5 w,"(4, 5)",0
3w4/6w1/3b3b/1bw5/1w1b4/8/b1b2ww1/2b5 b,"(5, 4)",0
3w4/6w1/3b3b/1bwbw3/1w1b4/8/b1b2ww1/2b5 w,"(4, 4)",50
3w4/6w1/3b3b/1bwbw3/1w1b4/8/b1b2ww1/2b5 b,"(4, 2)",50
3w4/3w2w1/3b3b/1bwbw3/1w1b4/3b4/b1b2ww1/2b5 w,"(4, 6)",100,1
b1w5/4b3/1b2w2w/1w4b1/ww1bbww1/5wb1/w1bb1bbb/4w3 b,"(5, 7)",-50
b1w5/4b3/1b2w2w/1w4b1/ww1bbww1/5wb1/w1bbwbbb/3bw3 w,"(4, 8)",50
b1w5/4b3/1b2w2w/1w4b1/ww1bbww1/5wb1/w1bbwbbb/3bw3 b,"(4, 6)",-50
b1w5/4b3/1b2w2w/1w4b1/wwbbbww1/3w1wb1/w1bbwbbb/3bw3 w,"(3, 5)",-50
b1w5/4b3/1b2w2w/1w4b1/wwbbbww1/3w1wb1/w1bbwbbb/3bw3 b,"(8, 4)",-100,-1
4bb2/bwbw4/w3b3/1bbb4/4ww1b/1ww2wb1/2w1w2b/8 b,"(1, 4)",50
4bb2/bwbw4/w3b3/wbbbb3/4ww1b/1ww2wb1/2w1w2b/8 w,"(5, 4)",100,1
8/8/4b3/6b1/4w3/3w4/5b2/8 b,"(3, 5)",0
8/8/4b3/4b1b1/2w1w3/3w4/5b2/8 w,"(5, 4)",0
8/8/4b3/4b1b1/2w1w3/3w4/5b2/8 b,"(4, 5)",-50
8/8/4b3/4b1b1/1bwww3/3w4/5b2/8 w,"(2, 5)",-50
8/8/4b3/4b1b1/1bwww3/3w4/5b2/8 b,"(6, 5)",-100,-1
3b2b1/w1b4b/wb2bbw1/b1w5/3w2ww/b1w5/2w5/w2b1b2 w,"(2, 3)",100,1
8/7b/8/5w2/b7/8/8/8 b,"(4, 5)",0
8/7b/8/5w2/b2wb3/8/8/8 w,"(5, 5)",0
8/7b/8/5w2/b2wb3/8/8/8 b,"(4, 4)",0
8/7b/3b4/3w1w2/b2wb3/8/8/8 w,"(4, 3)",0
8/7b/3b4/3w1w2/b2wb3/8/8/8 b,"(5, 4)",-50
8/7b/3b4/2bwww2/b2wb3/8/8/8 w,"(3, 4)",-50
8/7b/3b4/2bwww2/b2wb3/8/8/8 b,"(7, 4)",-100,-1
8/5w2/5b2/3b2bw/8/8/4w1b1/8 w,"(4, 4)",0
8/5w2/5b2/3b2bw/8/8/4w1b1/8 b,"(4, 5)",0
8/5w2/5b2/3bb1bw/3w4/8/4w1b1/8 w,"(5, 4)",50
8/5w2/5b2/3bb1bw/3w4/8/4w1b1/8 b,"(3, 5)",50
8/5w2/5b2/3bbbbw/2ww4/8/4w1b1/8 w,"(6, 4)",100,1
2bw4/1w4wb/b2wb2b/7w/5b2/b3w2w/8/b7 b,"(4, 4)",-50
2bw4/1w1b2wb/b2wb2b/3w3w/5b2/b3w2w/8/b7 w,"(4, 2)",50
2bw4/1w1b2wb/b2wb2b/3w3w/5b2/b3w2w/8/b7 b,"(6, 4)",1
2bw4/1w1b2wb/b2wb2b/3wbw1w/5b2/b3w2w/8/b7 w,"(5, 4)",1
2bw4/1w1b2wb/b2wb2b/3wbw1w/5b2/b3w2w/8/b7 b,"(4, 5)",-50
2bw4/1w1b2wb/b2wb2b/3wbw1w/2bw1b2/b3w2w/8/b7 w,"(3, 5)",-50
2bw4/1w1b2wb/b2wb2b/3wbw1w/2bw1b2/b3w2w/8/b7 b,"(4, 6)",-100,-1
b1w2ww1/w1bbwb2/2b3b1/1bw1w3/b4bw1/6w1/8/6b1 w,"(4, 2)",100,1
2w5/8/6b1/bb1wb2w/2bw4/1w1b2b1/4b1w1/3w4 w,"(4, 6)",100,1
1b6/4w3/8/8/3b4/8/8/8 w,"(4, 5)",0
1b6/4w3/8/8/3b4/8/8/8 b,"(5, 5)",0
1b6/4w3/3b4/8/3bw3/8/8/8 w,"(4, 3)",0
1b6/4w3/3b4/8/3bw3/8/8/8 b,"(5, 4)",-50
1b6/4w3/3b4/2b1w3/3bw3/8/8/8 w,"(3, 4)",-50
1b6/4w3/3b4/2b1w3/3bw3/8/8/8 b,"(5, 3)",-100,-1
1b1w1w2/wbww3w/6w1/4b1bb/1bb4w/wb1wb1wb/b6w/bbbb2ww w,"(1, 8)",100,1
8/8/8/1w1b4/4b3/8/8/8 w,"(4, 4)",0
8/8/8/1w1b4/4b3/8/8/8 b,"(4, 5)",0
8/8/3b4/1w1b4/3wb3/8/8/8 w,"(4, 3)",0
8/8/3b4/1w1b4/3wb3/8/8/8 b,"(5, 3)",0
8/8/3bw3/1w1b4/3wb3/3b4/8/8 w,"(4, 6)",0
8/8/3bw3/1w1b4/3wb3/3b4/8/8 b,"(5, 6)",0
8/8/3bw3/1wbb4/3wb3/3bw3/8/8 w,"(3, 4)",0
8/8/3bw3/1wbb4/3wb3/3bw3/8/8 b,"(5, 4)",0
8/8/2bbw3/1wbbw3/3wb3/3bw3/8/8 w,"(3, 3)",50
8/8/2bbw3/1wbbw3/3wb3/3bw3/8/8 b,"(2, 2)",50
8/1w6/2bbw3/1wbbw3/3wb3/3bwb2/8/8 w,"(6, 6)",100,1
8/bb1b4/8/1b6/4w1ww/7b/7w/1b3w2 b,"(3, 2)",-50
8/bbwb4/8/1b6/4wbww/7b/7w/1b3w2 w,"(6, 5)",0
8/bbwb4/8/1b6/4wbww/7b/7w/1b3w2 b,"(4, 4)",0
8/bbwb4/8/1b1wb3/4wbww/7b/7w/1b3w2 w,"(5, 4)",0
8/bbwb4/8/1b1wb3/4wbww/7b/7w/1b3w2 b,"(4, 3)",0
8/bbwb4/3w4/1b1wb3/3bwbww/7b/7w/1b3w2 w,"(4, 5)",0
8/bbwb4/3w4/1b1wb3/3bwbww/7b/7w/1b3w2 b,"(5, 6)",0
8/bbwb4/3w4/1bbwb3/3bwbww/4w2b/7w/1b3w2 w,"(3, 4)",50
8/bbwb4/3w4/1bbwb3/3bwbww/4w2b/7w/1b3w2 b,"(6, 4)",50
8/bbwb4/1b1w4/1bbwbw2/3bwbww/4w2b/7w/1b3w2 w,"(2, 3)",100,1
5w2/5w1b/3w4/5b1b/4b3/8/3b3w/8 w,"(5, 5)",50
5w2/5w1b/3w4/5b1b/4b3/8/3b3w/8 b,"(7, 3)",0
5w2/5w1b/3w2w1/5b1b/2b1b3/8/3b3w/8 w,"(3, 5)",0
5w2/5w1b/3w2w1/5b1b/2b1b3/8/3b3w/8 b,"(4, 5)",0
5w2/5w1b/3w2w1/4bb1b/2bwb3/8/3b3w/8 w,"(5, 4)",50
5w2/5w1b/3w2w1/4bb1b/2bwb3/8/3b3w/8 b,"(4, 6)",-50
5w2/5w1b/3w2w1/3bbb1b/2bwb3/3w4/3b3w/8 w,"(4, 4)",50
5w2/5w1b/3w2w1/3bbb1b/2bwb3/3w4/3b3w/8 b,"(3, 4)",-50
5w2/4bw1b/3w2w1/2wbbb1b/2bwb3/3w4/3b3w/8 w,"(5, 2)",50
5w2/4bw1b/3w2w1/2wbbb1b/2bwb3/3w4/3b3w/8 b,"(5, 3)",-50
5w2/4bw1b/3wwbw1/2wbbb1b/2bwb3/3w4/3b3w/8 w,"(6, 3)",50
5w2/4bw1b/3wwbw1/2wbbb1b/2bwb3/3w4/3b3w/8 b,"(2, 4)",50
5w2/4bw1b/3wwbw1/1wwbbbbb/2bwb3/3w4/3b3w/8 w,"(7, 4)",100,1
8/8/8/8/4b3/8/8/8 w,"(5, 5)",0
8/8/8/8/4b3/8/8/8 b,"(4, 5)",0
8/8/3b4/8/3wb3/8/8/8 w,"(4, 3)",0
